,Game,Watch time,Platform
0,League of Legends,93212191920,riot launcher
1,Fortnite,64013571240,epic games launcher
2,Grand Theft Auto V,49453644120,steam
3,VALORANT,48882166380,riot launcher
4,Call of Duty: Warzone,48682842480,battlenet launcher
5,Counter-Strike: Global Offensive,42824974860,steam launcher
6,Minecraft,30645919800,minecraft launcher
7,Dota 2,29829080100,steam launcher
8,World of Warcraft,27233166540,battlenet launcher
9,Among Us,25179134640,steam
10,Escape from Tarkov,23946123060,tarkov launcher
11,Apex Legends,19203037200,origin launcher
12,Hearthstone,16949634600,battlenet launcher
13,Dead by Daylight,11999107680,steam
14,FIFA 20,10800528720,games console
15,Fall Guys: Ultimate Knockout,10639038660,steam
16,Overwatch,10250580540,battlenet launcher
17,Teamfight Tactics,9951527580,riot launcher
18,PUBG: BATTLEGROUNDS,9394504200,steam
19,FIFA 21,9367150260,games console
20,Tom Clancy's Rainbow Six Siege,8840256900,steam
21,Rocket League,8398644600,steam
