,Game,Month,Average Players,Average Viewers
178,Rust,Jan-19,46201.3,2800.0
177,Rust,Feb-19,42431.4,2200.0
176,Rust,Mar-19,40725.3,3100.0
175,Rust,Apr-19,38200.8,2600.0
174,Rust,May-19,35780.7,2800.0
173,Rust,Jun-19,45132.6,2900.0
172,Rust,Jul-19,62260.0,5900.0
171,Rust,Aug-19,58531.2,7500.0
170,Rust,Sep-19,49636.1,3100.0
169,Rust,Oct-19,46704.4,3000.0
168,Rust,Nov-19,43508.0,3200.0
167,Rust,Dec-19,49094.8,3700.0
166,Rust,Jan-20,51620.4,3800.0
165,Rust,Feb-20,50075.2,6900.0
164,Rust,Mar-20,58442.0,6700.0
163,Rust,Apr-20,67504.1,5200.0
162,Rust,May-20,57344.7,5300.0
161,Rust,Jun-20,50417.7,6000.0
160,Rust,Jul-20,58238.7,6600.0
159,Rust,Aug-20,53287.7,5900.0
158,Rust,Sep-20,46430.5,4600.0
157,Rust,Oct-20,48550.8,4300.0
156,Rust,Nov-20,55408.0,8800.0
155,Rust,Dec-20,61171.7,25700.0
154,Rust,Feb-21,117742.3,65900.0
153,Rust,Mar-21,86369.8,27100.0
152,Rust,Apr-21,77590.3,17800.0
151,Rust,May-21,76870.6,22800.0
150,Rust,Jun-21,79341.5,10500.0
149,Rust,Jul-21,92823.8,39800.0
148,Rust,Aug-21,83332.2,11000.0
147,Rust,Sep-21,69503.0,22400.0
146,Rust,Oct-21,65557.0,7600.0
145,Rust,Nov-21,69650.1,13000.0
144,Rust,Dec-21,75604.1,9400.0
143,Project Zomboid,Jan-19,749.3,71.0
142,Project Zomboid,Feb-19,631.2,46.0
141,Project Zomboid,Mar-19,865.0,68.0
140,Project Zomboid,Apr-19,753.9,26.0
139,Project Zomboid,May-19,888.8,252.0
138,Project Zomboid,Jun-19,728.6,67.0
137,Project Zomboid,Jul-19,867.8,36.0
136,Project Zomboid,Aug-19,851.5,21.0
135,Project Zomboid,Sep-19,658.7,21.0
134,Project Zomboid,Oct-19,1132.2,72.0
133,Project Zomboid,Nov-19,1616.8,135.0
132,Project Zomboid,Dec-19,1564.2,105.0
131,Project Zomboid,Jan-20,1211.3,109.0
130,Project Zomboid,Feb-20,1073.4,110.0
129,Project Zomboid,Mar-20,1182.5,137.0
128,Project Zomboid,Apr-20,1302.8,68.0
127,Project Zomboid,May-20,1232.5,216.0
126,Project Zomboid,Jun-20,1027.8,70.0
125,Project Zomboid,Jul-20,1177.9,181.0
124,Project Zomboid,Aug-20,1232.1,136.0
123,Project Zomboid,Sep-20,1226.2,128.0
122,Project Zomboid,Oct-20,1675.0,114.0
121,Project Zomboid,Nov-20,2756.0,390.0
120,Project Zomboid,Dec-20,1944.5,141.0
119,Project Zomboid,Jan-21,2044.6,419.0
118,Project Zomboid,Feb-21,1793.0,684.0
117,Project Zomboid,Mar-21,2065.3,2600.0
116,Project Zomboid,Apr-21,3952.3,2700.0
115,Project Zomboid,May-21,4151.6,1800.0
114,Project Zomboid,Jun-21,3419.8,1000.0
113,Project Zomboid,Jul-21,3576.2,1500.0
112,Project Zomboid,Aug-21,5131.5,8600.0
111,Project Zomboid,Sep-21,5157.6,8400.0
110,Project Zomboid,Oct-21,4705.8,1000.0
109,Project Zomboid,Nov-21,4958.7,712.0
108,Project Zomboid,Dec-21,20322.5,7500.0
107,DOTA2,Jan-19,475747.0,62500.0
106,DOTA2,Feb-19,564909.7,74900.0
105,DOTA2,Mar-19,586505.8,67500.0
104,DOTA2,Apr-19,520219.0,41000.0
103,DOTA2,May-19,548523.2,62800.0
102,DOTA2,Jun-19,507528.4,59700.0
101,DOTA2,Jul-19,464787.6,55100.0
100,DOTA2,Aug-19,467148.3,95300.0
99,DOTA2,Sep-19,421971.2,35900.0
98,DOTA2,Oct-19,388355.9,40400.0
97,DOTA2,Nov-19,401931.8,48400.0
96,DOTA2,Dec-19,384179.8,46000.0
95,DOTA2,Jan-20,378925.4,59300.0
94,DOTA2,Feb-20,405978.7,50400.0
93,DOTA2,Mar-20,437147.4,56300.0
92,DOTA2,Apr-20,493300.3,75700.0
91,DOTA2,May-20,484189.0,68800.0
90,DOTA2,Jun-20,457184.4,57200.0
89,DOTA2,Jul-20,450214.0,48300.0
88,DOTA2,Aug-20,429717.1,51400.0
87,DOTA2,Sep-20,408609.8,52900.0
86,DOTA2,Oct-20,406361.4,45100.0
85,DOTA2,Nov-20,425904.8,56900.0
84,DOTA2,Dec-20,422552.3,57700.0
83,DOTA2,Jan-21,432671.7,53200.0
82,DOTA2,Feb-21,404832.1,57900.0
81,DOTA2,Mar-21,390412.8,53700.0
80,DOTA2,Apr-21,413785.0,69100.0
79,DOTA2,May-21,415145.0,65400.0
78,DOTA2,Jun-21,421510.0,86500.0
77,DOTA2,Jul-21,423156.2,57100.0
76,DOTA2,Aug-21,424980.2,57400.0
75,DOTA2,Sep-21,391082.1,48300.0
74,DOTA2,Oct-21,450761.4,133000.0
73,DOTA2,Nov-21,448860.5,51500.0
72,DOTA2,Dec-21,449297.4,58100.0
71,Dead by Daylight,Jan-19,46201.3,2800.0
70,Dead by Daylight,Feb-19,42431.4,2200.0
69,Dead by Daylight,Mar-19,40725.3,3100.0
68,Dead by Daylight,Apr-19,38200.8,2600.0
67,Dead by Daylight,May-19,35780.7,2800.0
66,Dead by Daylight,Jun-19,45132.6,2900.0
65,Dead by Daylight,Jul-19,62260.0,5900.0
64,Dead by Daylight,Aug-19,58531.2,7500.0
63,Dead by Daylight,Sep-19,49636.1,3100.0
62,Dead by Daylight,Oct-19,46704.4,3000.0
61,Dead by Daylight,Nov-19,43508.0,3200.0
60,Dead by Daylight,Dec-19,49094.8,3700.0
59,Dead by Daylight,Jan-20,51620.4,3800.0
58,Dead by Daylight,Feb-20,50075.2,6900.0
57,Dead by Daylight,Mar-20,58442.0,6700.0
56,Dead by Daylight,Apr-20,67504.1,5200.0
55,Dead by Daylight,May-20,57344.7,5300.0
54,Dead by Daylight,Jun-20,50417.7,6000.0
53,Dead by Daylight,Jul-20,58238.7,6600.0
52,Dead by Daylight,Aug-20,53287.7,5900.0
51,Dead by Daylight,Sep-20,46430.5,4600.0
50,Dead by Daylight,Oct-20,48550.8,4300.0
49,Dead by Daylight,Nov-20,55408.0,8800.0
48,Dead by Daylight,Dec-20,61171.7,25700.0
47,Dead by Daylight,Jan-21,142117.3,256000.0
46,Dead by Daylight,Feb-21,117742.3,65900.0
45,Dead by Daylight,Mar-21,86369.8,27100.0
44,Dead by Daylight,Apr-21,77590.3,17800.0
43,Dead by Daylight,May-21,76870.6,22800.0
42,Dead by Daylight,Jun-21,79341.5,10500.0
41,Dead by Daylight,Jul-21,92823.8,39800.0
40,Dead by Daylight,Aug-21,83332.2,11000.0
39,Dead by Daylight,Sep-21,69503.0,22400.0
38,Dead by Daylight,Oct-21,65557.0,7600.0
37,Dead by Daylight,Nov-21,69650.1,13000.0
36,Dead by Daylight,Dec-21,75604.1,9400.0
35,CSGO,Jan-19,401366.9,41300.0
34,CSGO,Feb-19,371359.0,70500.0
33,CSGO,Mar-19,390240.2,47700.0
32,CSGO,Apr-19,351989.9,42700.0
31,CSGO,May-19,364417.3,39900.0
30,CSGO,Jun-19,389376.7,41900.0
29,CSGO,Jul-19,393782.8,54700.0
28,CSGO,Aug-19,415097.3,62000.0
27,CSGO,Sep-19,410925.6,63800.0
26,CSGO,Oct-19,408995.3,60400.0
25,CSGO,Nov-19,426080.8,49500.0
24,CSGO,Dec-19,456701.6,54400.0
23,CSGO,Jan-20,501196.0,45500.0
22,CSGO,Feb-20,543979.2,71600.0
21,CSGO,Mar-20,671033.3,90000.0
20,CSGO,Apr-20,857604.2,121000.0
19,CSGO,May-20,768795.3,103000.0
18,CSGO,Jun-20,671647.5,106000.0
17,CSGO,Jul-20,625900.8,56400.0
16,CSGO,Aug-20,639957.7,64800.0
15,CSGO,Sep-20,606850.3,74400.0
14,CSGO,Oct-20,613666.7,78700.0
13,CSGO,Nov-20,668754.6,84500.0
12,CSGO,Dec-20,717803.8,81500.0
11,CSGO,Jan-21,743209.7,81900.0
10,CSGO,Feb-21,741013.2,101000.0
9,CSGO,Mar-21,740927.8,97200.0
8,CSGO,Apr-21,723346.5,97300.0
7,CSGO,May-21,659888.9,102000.0
6,CSGO,Jun-21,549347.1,77000.0
5,CSGO,Jul-21,506067.4,78700.0
4,CSGO,Aug-21,512082.0,67000.0
3,CSGO,Sep-21,512350.9,85400.0
2,CSGO,Oct-21,512435.8,94400.0
1,CSGO,Nov-21,548161.7,111000.0
0,CSGO,Dec-21,546614.2,61100.0
